fecha,year,month,prod_caldas_miles_sacos,prod_nacional_miles_sacos,precip_mm,ndvi_mean,ndvi_median,ndvi_p90,precio_interno_cop
2002-01-01,2002,1,84.60009132376835,824.0,118.0922,0.8037329677953067,0.8223249265173899,0.8886423321675244,276480.0
2002-02-01,2002,2,82.95737110388936,808.0,135.23131,0.7453812035258557,0.7792342259977687,0.8652313509006163,270960.0
2002-03-01,2002,3,79.87727069161623,778.0,234.06622,0.6841949406236476,0.7324437642264573,0.8457115340637436,296859.0
2002-04-01,2002,4,96.71515294537596,942.0,366.39807,0.748634473248004,0.7948995740956917,0.8651530306893298,307892.0
2002-05-01,2002,5,114.1690552815903,1112.0,275.82147,0.7660953449982686,0.8027538248079331,0.8691078164799076,284464.0
2002-06-01,2002,6,108.00885445704407,1052.0,168.28241,0.7920681747038298,0.814388936646977,0.869081348804632,277875.0
2002-07-01,2002,7,89.1175719284356,868.0,151.65404,0.7823735341720468,0.7988600892975906,0.8651760745508533,264823.0
2002-08-01,2002,8,77.10518032057043,751.0,110.342415,0.7452167105326071,0.7754330218758115,0.8534470804978734,260185.0
2002-09-01,2002,9,79.87727069161623,778.0,232.68382,0.759473629632759,0.7832220946969093,0.8612279528755192,302300.0
2002-10-01,2002,10,109.24089462195332,1064.0,313.14288,0.617553267796634,0.7305912671890915,0.8553646109344876,311722.0
2002-11-01,2002,11,141.6846189645635,1380.0,189.3686,0.7550071261140954,0.8007372960738045,0.8787253898439723,322517.0
2002-12-01,2002,12,129.05620727424372,1257.0,245.79852,0.749307284905064,0.7909961249630296,0.8769458307437599,285694.0
2003-01-01,2003,1,93.9109066671857,924.0,59.719055,0.7729386058794122,0.7988098047589929,0.8651737728881078,323837.5
2003-02-01,2003,2,80.08852213608478,788.0,155.0609,0.7633083412854623,0.7871445841773672,0.8768477746642258,320897.3214285714
2003-03-01,2003,3,65.45305616197791,644.0,203.19753,0.762888524720487,0.7792755446482363,0.8573062967792746,299592.7419354839
2003-04-01,2003,4,109.56272444504998,1078.0,320.24677,0.768384852618185,0.8065654747187296,0.8651607229507585,312583.3333333333
2003-05-01,2003,5,98.78939532522132,972.0,245.58368,0.768470271829425,0.814440568932898,0.8847170237679035,314217.7419354839
2003-06-01,2003,6,109.46108926467424,1077.0,278.64948,0.7481264938731174,0.7988426435908748,0.8729496258190341,290500.0
2003-07-01,2003,7,108.95291336279553,1072.0,124.657166,0.7622580422959844,0.79883852404336,0.861252039761566,319354.8387096774
2003-08-01,2003,8,67.18085422836552,661.0,200.00705,0.7918583899769706,0.8105334042760619,0.8690186527862787,300725.8064516129
2003-09-01,2003,9,80.79996839871497,795.0,259.76855,0.6582561864665573,0.7363188278063656,0.8534518931977664,308633.3333333333
2003-10-01,2003,10,115.55920008721877,1137.0,398.91913,0.6897916417948531,0.7636828184863904,0.8651525233959503,296229.8387096774
2003-11-01,2003,11,119.5229721218727,1176.0,291.58984,0.7419051619486529,0.783173584735559,0.8729065695700609,298533.3333333333
2003-12-01,2003,12,126.43416438742317,1244.0,188.3264,0.7724775680308323,0.8027297441329794,0.876896968089429,304540.32258064515
2004-01-01,2004,1,120.01552619729355,1171.0,135.86972,0.7807398268754662,0.8027301826492884,0.8689390652626335,334391.12903225806
2004-02-01,2004,2,78.91712653451413,770.0,129.11145,0.766268768051914,0.7793203674923015,0.8612458724511224,334857.7586206897
2004-03-01,2004,3,83.1192072980402,811.0,163.68083,0.750728024842131,0.7754040317740728,0.8612371380218679,342669.3548387097
2004-04-01,2004,4,75.63745374346938,738.0,310.35928,0.7626380687275258,0.7909754584590319,0.8690445365803536,327254.1666666667
2004-05-01,2004,5,111.8163442196817,1091.0,337.92136,0.7748386953325289,0.8105555454231421,0.8729928796399752,346229.8387096774
2004-06-01,2004,6,97.77524508302139,954.0,106.268936,0.7979148872444485,0.8163614230326413,0.8708847990539453,379407.6666666667
2004-07-01,2004,7,79.32708563339472,774.0,236.28262,0.7773667207779847,0.7988484573239015,0.8651427845116552,320314.51612903224
2004-08-01,2004,8,73.99761734794701,722.0,116.58682,0.7468089112096232,0.7676216474164337,0.8417734357488313,317887.0967741936
2004-09-01,2004,9,47.65774524486892,465.0,315.71472,0.7315832865630529,0.7910482186462592,0.8689999903908958,351520.8333333333
2004-10-01,2004,10,110.38148737359963,1077.0,334.48013,0.7459083169148195,0.7949183314519207,0.8848114019291504,351024.1935483871
2004-11-01,2004,11,137.02882880083817,1337.0,312.4027,0.647543022979766,0.7089767141734197,0.8495930905479722,388120.8333333333
2004-12-01,2004,12,136.31140037779713,1330.0,180.82893,0.7055664227977916,0.7714632618777262,0.8769183999577296,422786.29032258067
2005-01-01,2005,1,111.47846070867186,1100.0,193.6432,0.7122972135425094,0.7637189428058018,0.8729649855413866,417661.29032258067
2005-02-01,2005,2,103.67496845906483,1023.0,145.50291,0.6988200853896143,0.7792827489782703,0.8691475211007424,484334.8214285714
2005-03-01,2005,3,73.57578406772342,726.0,205.61363,0.7707803076372868,0.7987993202697152,0.8691369071339792,558592.7419354839
2005-04-01,2005,4,88.47336018060957,873.0,275.68005,0.7519821253479124,0.7871303877476247,0.8611815202213927,518929.1666666667
