departamento,year,month,chirps_precip_mm
Caldas,1998,9,301.66345
Caldas,1998,10,344.8518
Caldas,1998,11,334.6087
Caldas,1998,12,275.25623
Caldas,1999,1,220.58989
Caldas,1999,2,381.95892
Caldas,1999,3,252.84659
Caldas,1999,4,330.47955
Caldas,1999,5,269.79477
Caldas,1999,6,284.54233
Caldas,1999,7,125.01124
Caldas,1999,8,224.41335
Caldas,1999,9,374.1941
Caldas,1999,10,357.7738
Caldas,1999,11,333.03348
Caldas,1999,12,353.72467
Caldas,2000,1,134.5252
Caldas,2000,2,231.79315
Caldas,2000,3,229.46262
Caldas,2000,4,275.1003
Caldas,2000,5,371.5516
Caldas,2000,6,296.71912
Caldas,2000,7,218.79388
Caldas,2000,8,179.10234
Caldas,2000,9,397.34714
Caldas,2000,10,298.5934
Caldas,2000,11,243.16315
Caldas,2000,12,200.05777
Caldas,2001,1,144.24838
Caldas,2001,2,121.280846
Caldas,2001,3,238.32521
Caldas,2001,4,189.77061
Caldas,2001,5,289.52588
Caldas,2001,6,152.90953
Caldas,2001,7,183.84763
Caldas,2001,8,55.67261
Caldas,2001,9,277.92902
Caldas,2001,10,313.882
Caldas,2001,11,305.06943
Caldas,2001,12,265.6078
Caldas,2002,1,118.0922
Caldas,2002,2,135.23131
Caldas,2002,3,234.06622
Caldas,2002,4,366.39807
Caldas,2002,5,275.82147
Caldas,2002,6,168.28241
Caldas,2002,7,151.65404
Caldas,2002,8,110.342415
Caldas,2002,9,232.68382
Caldas,2002,10,313.14288
Caldas,2002,11,189.3686
Caldas,2002,12,245.79852
Caldas,2003,1,59.719055
Caldas,2003,2,155.0609
Caldas,2003,3,203.19753
Caldas,2003,4,320.24677
Caldas,2003,5,245.58368
Caldas,2003,6,278.64948
Caldas,2003,7,124.657166
Caldas,2003,8,200.00705
Caldas,2003,9,259.76855
Caldas,2003,10,398.91913
Caldas,2003,11,291.58984
Caldas,2003,12,188.3264
Caldas,2004,1,135.86972
Caldas,2004,2,129.11145
Caldas,2004,3,163.68083
Caldas,2004,4,310.35928
Caldas,2004,5,337.92136
Caldas,2004,6,106.268936
Caldas,2004,7,236.28262
Caldas,2004,8,116.58682
Caldas,2004,9,315.71472
Caldas,2004,10,334.48013
Caldas,2004,11,312.4027
Caldas,2004,12,180.82893
Caldas,2005,1,193.6432
Caldas,2005,2,145.50291
Caldas,2005,3,205.61363
Caldas,2005,4,275.68005
Caldas,2005,5,380.53043
Caldas,2005,6,237.8318
Caldas,2005,7,145.02328
Caldas,2005,8,164.85994
Caldas,2005,9,231.67964
Caldas,2005,10,420.40518
Caldas,2005,11,337.0166
Caldas,2005,12,226.1931
Caldas,2006,1,201.39131
Caldas,2006,2,144.24965
Caldas,2006,3,299.58612
Caldas,2006,4,320.33112
Caldas,2006,5,316.24887
Caldas,2006,6,229.60892
Caldas,2006,7,122.7445
Caldas,2006,8,171.50606
Caldas,2006,9,239.09785
Caldas,2006,10,346.77588
Caldas,2006,11,345.43332
Caldas,2006,12,243.38525
Caldas,2007,1,168.01529
Caldas,2007,2,31.473475
Caldas,2007,3,298.14944
Caldas,2007,4,376.39325
Caldas,2007,5,377.66675
Caldas,2007,6,102.22425
Caldas,2007,7,210.39418
Caldas,2007,8,268.05844
Caldas,2007,9,242.31055
Caldas,2007,10,433.0382
Caldas,2007,11,279.8761
Caldas,2007,12,266.37772
Caldas,2008,1,164.69899
Caldas,2008,2,231.48985
Caldas,2008,3,300.70718
Caldas,2008,4,285.77774
Caldas,2008,5,400.34576
Caldas,2008,6,274.7206
Caldas,2008,7,268.31046
Caldas,2008,8,360.3475
Caldas,2008,9,238.30014
Caldas,2008,10,336.6462
Caldas,2008,11,441.83902
Caldas,2008,12,185.08188
Caldas,2009,1,242.05327
Caldas,2009,2,216.68456
